-2.0010031,-1.6207130,2.4724505
-2.0895693,-1.4437555,2.3740268
-2.1070365,-1.2497072,2.3646831
-2.0458056,-1.0635344,2.3553023
-1.9303371,-0.9043407,2.6104031
-1.7863517,-0.7723103,2.9663451
-1.6251708,-0.6603313,3.2897254
-1.4519387,-0.5637262,3.5818101
-1.2708088,-0.4803051,3.8497456
-1.0882287,-0.4098182,4.0982865
-0.8994501,-0.3485526,4.3307876
-0.7086130,-0.2969329,4.5497222
-0.5156932,-0.2542562,4.7569767
-0.3206463,-0.2202495,4.9540296
-0.1245617,-0.1951118,5.1420657
0.0725420,-0.1790994,5.0337828
0.2699528,-0.1728089,4.7839127
0.4682662,-0.1771544,4.5209151
0.6636157,-0.1932203,4.2499530
0.8604124,-0.2233322,3.9771806
1.0527115,-0.2694800,3.7127215
1.2372413,-0.3343049,3.4733976
1.4139749,-0.4234861,3.2861599
1.5729059,-0.5401876,3.2173836
1.7031764,-0.6861534,3.2047206
1.7975151,-0.8583036,3.1920074
1.8540529,-1.0475977,3.2443888
1.8750208,-1.2432902,3.3674239
1.8639741,-1.4398195,3.5070680
1.8235151,-1.6331284,3.6412234
1.7556162,-1.8189586,3.7540483
1.6624511,-1.9924936,3.8362755
1.5454078,-2.1507475,3.8851440
1.4059501,-2.2903166,3.9031224
1.2469921,-2.4072169,3.9016494
1.0739720,-2.4978979,3.8998542
0.8866091,-2.5626937,3.9042651
0.6943676,-2.6008076,3.9532930
0.4974995,-2.6174674,4.0951788
0.2992102,-2.6163279,4.2869051
0.1026115,-2.6006785,4.5038002
-0.0938368,-2.5725893,4.7134238
-0.2877100,-2.5338587,4.9125566
-0.4795650,-2.4854522,5.1024388
-0.6695216,-2.4279331,5.2840793
-0.8555363,-2.3622729,5.2954876
-1.0401131,-2.2875125,5.0621093
-1.2185122,-2.2052249,4.8060929
-1.3957057,-2.1120976,4.5408064
-1.5617813,-2.0118975,4.2848813
-1.7269994,-1.8950024,4.0845680
-1.8755614,-1.7662342,4.0684919
-2.0010031,-1.6207130,2.4724505
